Edge TPU Compiler version 16.0.384591198
Input: yolov5s-int8.tflite
Output: ./yolov5s-int8_edgetpu.tflite

Operator                       Count      Status

CONCATENATION                  1          Operation is otherwise supported, but not mapped due to some unspecified limitation
CONCATENATION                  15         Mapped to Edge TPU
CONCATENATION                  1          More than one subgraph is not supported
PAD                            7          Mapped to Edge TPU
MAX_POOL_2D                    3          Mapped to Edge TPU
ADD                            9          Mapped to Edge TPU
ADD                            1          More than one subgraph is not supported
STRIDED_SLICE                  6          Mapped to Edge TPU
STRIDED_SLICE                  3          More than one subgraph is not supported
CONV_2D                        60         Mapped to Edge TPU
QUANTIZE                       1          More than one subgraph is not supported
QUANTIZE                       5          Mapped to Edge TPU
QUANTIZE                       1          Operation is otherwise supported, but not mapped due to some unspecified limitation
MUL                            6          More than one subgraph is not supported
MUL                            69         Mapped to Edge TPU
RESIZE_NEAREST_NEIGHBOR        2          Mapped to Edge TPU
LOGISTIC                       63         Mapped to Edge TPU
LOGISTIC                       3          More than one subgraph is not supported
RESHAPE                        3          Mapped to Edge TPU
RESHAPE                        3          Operation is otherwise supported, but not mapped due to some unspecified limitation
